Timestamp;% CPU (global);% CPU (user);% CPU (system);;;;
3390;0.80;0.50;0.10;;;;
3395;1.10;0.70;0.20;;;;
3400;1.40;1.10;0.20;;;;
3405;1.00;0.60;0.20;;;;
3410;0.80;0.50;0.20;;;;
3415;1.00;0.60;0.20;;;;
3420;0.80;0.50;0.20;;;;
3425;1.00;0.60;0.20;;;;
3430;0.90;0.50;0.20;;;;
3435;0.90;0.60;0.20;;;;
3440;0.80;0.50;0.20;;;;
3445;1.10;0.70;0.20;;;;
3450;0.80;0.50;0.20;;;;
3455;0.90;0.60;0.20;;;;
3460;0.90;0.50;0.20;;;;
3465;1.00;0.60;0.30;;;;
3470;0.90;0.50;0.30;;;;
3475;1.00;0.60;0.30;;;;
3480;0.80;0.50;0.20;;;;
3485;0.90;0.60;0.20;;;;
3490;0.90;0.50;0.30;;;;
3495;1.00;0.60;0.20;;;;
3500;1.00;0.50;0.30;;;;
3505;0.80;0.50;0.20;;;;
3510;0.90;0.60;0.20;;;;
3515;0.90;0.50;0.30;;;;
3520;1.10;0.70;0.30;;;;
3525;1.00;0.60;0.20;;;;
3530;1.10;0.60;0.40;;;;
3535;1.40;1.00;0.20;;;;
3540;1.10;0.60;0.30;;;;
3545;0.90;0.50;0.30;;;;
3550;0.60;0.30;0.20;;;;
3555;0.70;0.30;0.20;;;;
3560;1.60;1.10;0.30;;;;
3565;1.50;1.00;0.30;;;;
3570;0.80;0.40;0.20;;;;
3575;0.80;0.50;0.20;;;;
3580;0.70;0.40;0.20;;;;
3585;0.80;0.30;0.30;;;;
3590;0.80;0.40;0.20;;;;
3595;0.70;0.30;0.20;;;;
3600;0.80;0.40;0.30;;;;
3605;0.80;0.30;0.30;;;;
3610;0.70;0.40;0.20;;;;
3615;0.70;0.40;0.20;;;;
3620;0.70;0.40;0.20;;;;
3625;0.70;0.40;0.20;;;;
3630;0.80;0.40;0.30;;;;
3635;0.80;0.30;0.20;;;;
3640;0.60;0.30;0.20;;;;
3645;0.70;0.30;0.20;;;;
3650;0.80;0.40;0.20;;;;
3655;0.70;0.30;0.20;;;;
3660;0.70;0.40;0.20;;;;
3665;0.80;0.40;0.20;;;;
3670;0.80;0.30;0.30;;;;
3675;2.40;1.90;0.30;;;;
3680;0.60;0.20;0.20;;;;
