Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada;;;
764;10403780;897396;7.940731124;;;
765;10403780;897396;7.940731124;;;
766;10403780;897396;7.940731124;;;
767;10403780;897396;7.940731124;;;
768;10403780;897396;7.940731124;;;
769;10403780;897396;7.940731124;;;
770;10403780;897396;7.940731124;;;
771;10403780;897396;7.940731124;;;
772;10403780;897396;7.940731124;;;
773;10403780;897396;7.940731124;;;
774;10403780;897396;7.940731124;;;
775;10403780;897396;7.940731124;;;
776;10403780;897396;7.940731124;;;
777;10403780;897396;7.940731124;;;
778;10403780;897396;7.940731124;;;
779;10403780;897396;7.940731124;;;
780;10403780;897396;7.940731124;;;
781;10403780;897396;7.940731124;;;
782;10403764;897412;7.940872702;;;
783;10403764;897412;7.940872702;;;
784;10403764;897412;7.940872702;;;
785;10403764;897412;7.940872702;;;
786;10403780;897396;7.940731124;;;
787;10403780;897396;7.940731124;;;
788;10403780;897396;7.940731124;;;
789;10404168;897008;7.937297853;;;
790;10404168;897008;7.937297853;;;
791;10403796;897380;7.940589546;;;
792;10403780;897396;7.940731124;;;
793;10403780;897396;7.940731124;;;
794;10403780;897396;7.940731124;;;
795;10403780;897396;7.940731124;;;
796;10403780;897396;7.940731124;;;
797;10403656;897520;7.941828355;;;
798;10403780;897396;7.940731124;;;
799;10403780;897396;7.940731124;;;
800;10403780;897396;7.940731124;;;
801;10403780;897396;7.940731124;;;
802;10403780;897396;7.940731124;;;
803;10403780;897396;7.940731124;;;
804;10403780;897396;7.940731124;;;
805;10403780;897396;7.940731124;;;
806;10403780;897396;7.940731124;;;
807;10403780;897396;7.940731124;;;
808;10403780;897396;7.940731124;;;
809;10403780;897396;7.940731124;;;
810;10403780;897396;7.940731124;;;
811;10403780;897396;7.940731124;;;
812;10403780;897396;7.940731124;;;
813;10403780;897396;7.940731124;;;
814;10403780;897396;7.940731124;;;
815;10403780;897396;7.940731124;;;
816;10403780;897396;7.940731124;;;
817;10403780;897396;7.940731124;;;
818;10403780;897396;7.940731124;;;
819;10403780;897396;7.940731124;;;
820;10403780;897396;7.940731124;;;
821;10403780;897396;7.940731124;;;
822;10403780;897396;7.940731124;;;
823;10403780;897396;7.940731124;;;
824;10403780;897396;7.940731124;;;
825;10403780;897396;7.940731124;;;
826;10403780;897396;7.940731124;;;
827;10403788;897388;7.940660335;;;
828;10403788;897388;7.940660335;;;
829;10403788;897388;7.940660335;;;
830;10403788;897388;7.940660335;;;
831;10403788;897388;7.940660335;;;
832;10403788;897388;7.940660335;;;
833;10403788;897388;7.940660335;;;
